 	Loπi h◊nh NPC	NgÚ hµnh phﬂng ng˘	NgÚ hµnh t n c´ng	Sinh l˘c	TËc ÆÈ di chuy”n 	ThÍi gian phÙc hÂi (sË li÷u)	Duy tr◊ thÍi gian n– tr∏nh (sË li÷u)	Duy tr◊ thÍi gian phﬂng ng˘ (sË li÷u)	ThÍi gian phÙc hÂi (sË li÷u)	NpcResType	Œ‰∆˜◊ ‘¥√˚≥∆	√¸÷–÷µ	Ch› mπng (kh´ng t∏c dÙng) 	N– tr∏nh 	T®ng t n c´ng vÀt l˝	T®ng NÈi c´ng 	Linh hoπt (kh´ng t∏c dÙng) 	Phﬂng thÒ vÀt l˝	Phﬂng ng˘ vÀt l˝ 100%	Phﬂng thÒ nÈi c´ng	NÈi phﬂng 100%	Phπm vi	Loπi AI	Kho∂ng c∏ch thÍi gian xˆ l˝ AI (sË li÷u)	SË hi÷u k¸ n®ng (1)	ßºng c p k¸ n®ng (1)	X∏c xu t k¸ n®ng (1)	X∏c xu t k¸ n®ng (2)	ßºng c p k¸ n®ng (2)	X∏c xu t k¸ n®ng (2)	SË hi÷u k¸ n®ng (3)	ßºng c p k¸ n®ng (3)	X∏c xu t k¸ n®ng (3)	SË hi÷u k¸ n®ng (4)	ßºng c p k¸ n®ng (4)	X∏c xu t k¸ n®ng (4)	Thi’t lÀp file vÀt r¨i	SË l≠Óng vÀt r¨i	C p	Trﬁ kinh nghi÷m 1	Trﬁ kinh nghi÷m 2	ThÍi gian mÁi c´ng k›ch th≠Íng 	Boss?	Chuy”n ÆÈng khi ÆËi thoπi kh´ng (0: Kh´ng; 1: C„; M∆c Æﬁnh: C„)	C„ hÂi m∏u kh´ng (0: Kh´ng; 1: C„; M∆c Æﬁnh: C„)	BossCfg	M∆c Æﬁnh script ÆËi thoπi ho∆c script tr‰ng th≠¨ng	Bπo k›ch	Bπo th≠¨ng	ChËng bπo k›ch	ChËng bπo th≠¨ng	InitScript
myty_runxia	0	0	0	800000	15	20	10	10	5400	—©π÷3	ø’ ÷	5000	100	1500	7000;12000	6000;12000			60		60	600	5	9	703	2	80										\settings\droprate\myty\dropratenpc002.ini	1	99	15000	15000	18	1		1			150	200	200	400	\settings\static_script\npc\init\myty_shui.lua
myty_yanshang	0	0	0	800000	15	20	10	10	5400	 Ø»À3	ø’ ÷	5000	100	1500	7000;12000	6000;12000			60		60	600	5	9	701	10	80										\settings\droprate\myty\dropratenpc002.ini	1	99	15000	15000	18	1		1			150	200	200	400	\settings\static_script\npc\init\myty_huo.lua
myty_quzhi	0	0	0	800000	15	20	10	10	5400	ƒæ»À	ø’ ÷	5000	100	1500	7000;12000	6000;12000			60		60	600	5	9	701	2	90										\settings\droprate\myty\dropratenpc002.ini	1	99	15000	15000	18	1		1			150	200	200	400	\settings\static_script\npc\init\myty_mu.lua
myty_congge	0	0	0	800000	15	20	10	10	5400	≥÷Ω£±¯¬ÌŸ∏	ø’ ÷	5000	100	1500	7000;12000	6000;12000			60		60	600	5	9	701	2	100										\settings\droprate\myty\dropratenpc002.ini	1	99	15000	15000	18	1		1			150	200	200	400	\settings\static_script\npc\init\myty_jin.lua
myty_jiase	0	0	0	800000	15	20	10	10	5400	≥÷π≠±¯¬ÌŸ∏	ø’ ÷	5000	100	1500	7000;12000	6000;12000			60		60	600	5	9	702	2	100										\settings\droprate\myty\dropratenpc002.ini	1	99	15000	15000	18	1		1			150	200	200	400	\settings\static_script\npc\init\myty_tu.lua
myty_gaishi	6	0	0							«ÿ≤ª÷«													0																99			18										
myty_gaoxing	6	0	0							Íµ◊”µ§													0																99			18										
myty_longyun	6	0	0							¬°Í¿													0																99			18										
myty_shouwei	0	0	0	100000000		20	9	9	1	’Úƒπ÷˘		10000	100	6000	60000;120000	60000;120000			60	60	60	900	5	9	30206	1	100												99			9	2					500	500	1000	1000	\settings\static_script\npc\init\myty_shouwei.lua
myty_qiaofu	6	0	0						600	≥÷π≠¡‘ªß	ø’ ÷												0																													
qsh_jinzhansongbing	0	0	0	200000	10	18	18	18	604800	ÀŒæ´±¯	ø’ ÷	10000	100	6000	6000;12000	6000;12000			60	60	60	900	8	9	701	20	100												99			18										
qsh_yuanchengsongbing	0	0	0	300000	10	18	18	18	604800	ÀŒ«øÂÛ±¯	ø’ ÷	10000	100	6000	6000;12000	6000;12000			60	60	60	900	8	9	703	20	100												99			18										
qsh_songjianta	0	0	0	10000000	0	18	18	18	604800	–¬»ŒŒÒª˙πÿ	ø’ ÷	10000	100	6000	6000;12000	6000;12000			60	60	60	900	5	9	1516	20	100	635	20	100									99			18	2									
qsh_songjianta1	0	0	0	100000000	0	18	18	18	604800	–¬»ŒŒÒª˙πÿ	ø’ ÷	10000	100	6000	6000;12000	6000;12000			60	60	60	900	5	9	1516	20	50	608	20	50									99			18	2									
qsh_songyuanshuai	0	0	0	30000000	0	18	18	18	604800	ÀŒæ¸‘™Àß	ø’ ÷	10000	100	6000	6000;12000	6000;12000			60	60	60	900	5	9	670	20	100	635	20	100									99			18										
qsh_songjunxuguan	6	0	0							÷–‘≠Œ‰∆˜µÍ¿œ∞Â													0																													
qsh_jinzhanliaobing	0	0	0	200000	10	18	18	18	604800	¡…”¬ ø	ø’ ÷	10000	100	6000	6000;12000	6000;12000			60	60	60	900	8	9	701	20	100												99			18										
qsh_yuanchengliaobing	0	0	0	300000	10	18	18	18	604800	¡…”≤π≠±¯	ø’ ÷	10000	100	6000	6000;12000	6000;12000			60	60	60	900	8	9	703	20	100												99			18										
qsh_liaojianta	0	0	0	10000000	0	18	18	18	604800	∏⁄…⁄	ø’ ÷	10000	100	6000	6000;12000	6000;12000			60	60	60	900	5	9	1516	20	100	635	20	100									99			18	2									
qsh_liaojianta1	0	0	0	100000000	0	18	18	18	604800	∏⁄…⁄	ø’ ÷	10000	100	6000	6000;12000	6000;12000			60	60	60	900	5	9	1516	20	50	608	20	50									99			18	2									
qsh_liaoyuanshuai	0	0	0	30000000	0	18	18	18	604800	¡…æ¸‘™Àß	ø’ ÷	10000	100	6000	6000;12000	6000;12000			60	60	60	900	5	9	670	20	100	635	20	100									99			18										
qsh_liaojunxuguan	6	0	0							Œ˜ƒœŒ‰∆˜µÍ¿œ∞Â													0																													
qsh_yeguai1	0	0	0	10000000	0	9	9	9	5400	æ™¿◊æ≈¡˙ÕÃ‘∆ ﬁ	ø’ ÷	10000	100	6000	6000;12000	6000;12000			60	60	60	900	2	9	662	20	60	663	20	20	643	20	20	635	20	100			99			18	2		1							
qsh_yeguai2	0	0	0	5000000	0	9	9	9	5400	˜º˜√Õı	ø’ ÷	10000	100	6000	6000;12000	6000;12000			60	60	60	900	2	9	703	20	60	833	20	30	635	20	100						99			18	2		1							
qsh_yeguai3	0	0	0	1000000	10	9	9	9	2160	ª“–‹	ø’ ÷	10000	100	6000	6000;12000	6000;12000			60	60	60	900	2	9	703	20	60	1523	20	40									99			18	1		1							
qsh_yeguai4	0	0	0	1000000	10	9	9	9	2160	“¯∫¸	ø’ ÷	10000	100	6000	6000;12000	6000;12000			60	60	60	900	2	9	701	20	60	1529	20	40									99			18	1		1							
qsh_yeguai5	0	0	0	500000	10	18	18	18	1080	Ωº◊	ø’ ÷	10000	100	6000	6000;12000	6000;12000			60	60	60	900	2	9	701	20	100												99			18										
qsh_baomingNPC	6				0					Õı∞≤ Ø														18																												
ThÔng D«u	6		0	20000	0		10	10	64400	”ÕÕ∞	ø’ ÷	9000	100	2330	8000;10000	8000;10000	10	100	40	100	40	700	2	9	701	2	70	2097	10	15	2101	10	15						90			18	0									
TËng-Qu©n Nhu Quan	6		0	20000	0		10	10	64400	”˘≥¯	ø’ ÷	9000	100	2330	8000;10000	8000;10000	10	100	40	100	40	700	2	9	701	2	70	2097	10	15	2101	10	15						90			18	0									
Li™u-Qu©n Nhu Quan	6		0	20000	0		10	10	64400	”˘≥¯	ø’ ÷	9000	100	2330	8000;10000	8000;10000	10	100	40	100	40	700	2	9	701	2	70	2097	10	15	2101	10	15						90			18	0									
TËng ßµo Binh	6		0	20000	0				64400	≥«√≈Œ¿±¯	ø’ ÷	9000	100	2330	8000;10000	8000;10000	10	100	40	100	40	700	2	9	701	2	70	2097	10	15	2101	10	15						90			18	0									
Li™u ßµo Binh	6		0	20000	0				64400	≥«√≈Œ¿±¯	ø’ ÷	9000	100	2330	8000;10000	8000;10000	10	100	40	100	40	700	2	9	701	2	70	2097	10	15	2101	10	15						90			18	0									
TËng-ThÒ Thµnh T≠Ìng	0	0	0	20000000	25	17	10	10	720	ÕÍ—’◊⁄∫≤	ø’ ÷	9000	100	2330	8000;10000	8000;10000	0	100	40	100	40	1000	5	9	2644	1	50	2646	1	50									120			25	2									\settings\static_script\npc\init\xlxf_npc.lua
Li™u-ThÒ Thµnh T≠Ìng	0	0	0	20000000	25	17	10	10	720	¡…æ¸‘™Àß	ø’ ÷	9000	100	2330	8000;10000	8000;10000	0	100	40	100	40	1000	5	9	2644	1	50	2646	1	50									120			25	2									\settings\static_script\npc\init\xlxf_npc.lua
TËng-ThÒ Thµnh V÷	0	0	0	20000000	0	17	10	10	720	ÀŒ«øÂÛ±¯	ø’ ÷	9000	100	2330	8000;10000	8000;10000	0	100	40	100	40	1000	5	9	2648	20	100												120			25	2									\settings\static_script\npc\init\xlxf_npc.lua
Li™u-ThÒ Thµnh V÷	0	0	0	20000000	0	17	10	10	720	¡…”≤π≠±¯	ø’ ÷	9000	100	2330	8000;10000	8000;10000	0	100	40	100	40	1000	5	9	2648	20	100												120			25	2									\settings\static_script\npc\init\xlxf_npc.lua
Hi÷p LÈ Chi’n Xa	0		0	3600000	3				64400	œ¡¬∑œ‡∑Í’Ω≥µ	ø’ ÷	9000	100	2330	10000;10000	10000;10000	10	100	40	100	40	700	5	9	2647	20	50	2636	20	50									90			18	4									
CÍ TËng	0		0	100000	0				64400	ÀŒ¥Û∆Ï	ø’ ÷																												90				4									
CÍ Li™u	0		0	100000	0				64400	¡…¥Û∆Ï	ø’ ÷																												90				4									
orb_hfzch	0		0	50000000	20	17	10	10	64400	ﬁ’√¸»˝¿… Ø–„	ø’ ÷	9000	100	2330	8000;10000	8000;10000	10	100	40	100	40	700	2	9	701	2	70	2098	10	15	2102	10	15						110			18	4									\settings\static_script\npc\init\xlxf_npc.lua
orb_hfzdj	0		0	50000000	20	17	10	10	64400	¿ÓÂ”	ø’ ÷	9000	100	2330	8000;10000	8000;10000	10	100	40	100	40	700	2	9	701	2	70	2092	10	15	2104	10	15						110			18	4									\settings\static_script\npc\init\xlxf_npc.lua
orb_hfzzpy	0		0	50000000	20	17	10	10	64400	’≤ÙÊ“Â	ø’ ÷	9000	100	2330	8000;10000	8000;10000	10	100	40	100	40	700	2	9	701	2	70	2097	10	15	2101	10	15						110			18	4									\settings\static_script\npc\init\xlxf_npc.lua
Xe C´ng Thµnh bﬁ Hæc Phong Trπi chi’m	0		0	20000000	12	15			64400	≥«∑¿≥µ	ø’ ÷	9000	100	2330	8000;10000	8000;10000	10	100	40	100	40	700	5	9	2643	1	100												90			18	4									\settings\static_script\npc\init\xlxf_npc.lua
T≠Ìng ThÒ Thµnh Vi÷n Qu©n-TËng	0		0	20000000	20	17	10	10	64400	ÀŒæ¸Ω´æ¸	ø’ ÷	9000	100	2330	8000;10000	8000;10000	10	100	40	100	40	700	5	9	2633	3	20	2098	3	10	701	2	70						100			18	2									\settings\static_script\npc\init\xlxf_npc.lua
T≠Ìng ThÒ Thµnh Vi÷n Qu©n-Li™u	0		0	20000000	20	17	10	10	64400	¡…æ¸Ω´æ¸	ø’ ÷	9000	100	2330	8000;10000	8000;10000	10	100	40	100	40	700	5	9	2633	3	20	2098	3	10	701	2	70						100			18	2									\settings\static_script\npc\init\xlxf_npc.lua
Khÿ Ph…n NÈ	0		0	2000000	20				64400	∑ﬂ≈≠µƒ∫Ô◊”	ø’ ÷	9000	100	2330	8000;10000	8000;10000	10	100	40	100	40	700	2	9	701	2	70	2097	10	15	2101	10	15						90			18	0									\settings\static_script\npc\init\xlxf_npc.lua
Khÿ °n TrÈm	6		0	2000000	20	17			64400	Õµ∂´Œ˜µƒ∫Ô◊”	ø’ ÷																												90				0									
Qu∂ ThÙ	0		0	20000	0		10	10	64400	π˚ ˜	ø’ ÷																												90			18	4									\settings\static_script\npc\init\xlxf_npc.lua
Hµng rµo	0	0	0	20100	0				64400	ƒæ÷ ’§¿∏	ø’ ÷	9000	100	2330	8000;10000	8000;10000	500	30	30	30	30	700	5	9	2641	1	100												90			18	4									\settings\static_script\npc\init\xlxf_npc.lua
Hæc Phong Trπi L©u La	0		0	2000000	20	15	10	10	64400	…Ω‘Ù	ø’ ÷	9000	100	2330	8000;10000	8000;10000	10	100	40	100	40	700	5	9	701	2	70	2097	10	15	2101	10	15						90			18	0									\settings\static_script\npc\init\xlxf_npc.lua
Thµnh Phﬂng Xa	0	0	0	20000000	0	17	10	10	64400	≥«∑¿≥µ	ø’ ÷	9000	100	2330	8000;10000	8000;10000	500	100	40	100	40	1000	5	9	2641	1	100												120			18	4									\settings\static_script\npc\init\xlxf_npc.lua
Chi’n Xa bﬁ Hæc Phong Trπi chi’m	6		0	6700	40				64400	œ¡¬∑œ‡∑Í’Ω≥µ	ø’ ÷																												90			18	4									
Hæc Phong Trπi L©u La 1	6		0	200000	40				64400	…Ω‘Ù	ø’ ÷																																0									
Hµng Rµo Sæt	0	0	999	20100	0				64400	Ã˙÷∆≥«∑¿	ø’ ÷	9000	100	2330	8000;10000	8000;10000	500	30	30	30	30	700	5	9	2641	1	100												90													\settings\static_script\npc\init\xlxf_npc.lua
TËng-Ti‘n Th∏p	0	0		340000	0				64400	ÀŒº˝À˛	ø’ ÷	9000	100	0	8000;10000	8000;10000	500	0	0	0	0	700	5	9	2641	1	100												120				4	0								
Li™u-Ti‘n Th∏p	0	0	0	340000	0				64400	¡…º˝À˛	ø’ ÷	9000	100	0	8000;10000	8000;10000	500	0	0	0	0	700	5	9	2641	1	100												120				4	0				1999	999	999	999	
ßËi thoπi Hoµn Nhan T´ng Hµn	6									ÕÍ—’◊⁄∫≤																													80													
Linh Ki’m T©n ThÒ	0	0	0	50000000	14	7	5	5	259200	¡ÈΩ£5		4000	100	500	2000;3000	2000;3000	10	9999	99	9999	99	4000	5	18	2061	1	60	2065	1	20	1336	12		2069	1	20			80			18	1									
V‰ng Th≠ Ki’m	6									¡ÈΩ£4																																										
Thi™n Phong	14	0	0	1	0	0	0	0	0	“˛–Œµƒ≈ÆÕı	ø’ ÷	0	0	0	0;0	0;0	0	0	0	0	0	0																	5													
Linh Ki’m 1	7	0	0	5	25	17	10	10	720	¡ÈΩ£1	ø’ ÷	70	100	0	0;0	0;0	0	0	0	0	0	0	0	0														0	1	1	1	36	0									
Linh Ki’m 2	7	0	0	5	25	17	10	10	720	¡ÈΩ£2	ø’ ÷	70	100	0	0;0	0;0	0	0	0	0	0	0	0	0														0	1	1	1	36	0									
Linh Ki’m 3	7	0	0	5	25	17	10	10	720	¡ÈΩ£3	ø’ ÷	70	100	0	0;0	0;0	0	0	0	0	0	0	0	0														0	1	1	1	36	0									
Linh Ki’m 4	7	0	0	5	25	17	10	10	720	¡ÈΩ£4	ø’ ÷	70	100	0	0;0	0;0	0	0	0	0	0	0	0	0														0	1	1	1	36	0									
Linh Ki’m 5	7	0	0	5	25	17	10	10	720	¡ÈΩ£5	ø’ ÷	70	100	0	0;0	0;0	0	0	0	0	0	0	0	0														0	1	1	1	36	0									
ß≠Íng LÈng Nguy÷t	6									Ã∆√≈ ◊œØ–‘∏–≈Æ																																										
V©n Hi Hﬂa	6									¿•¬ÿ ◊œØ±Í◊ºƒ–																																										
Y™u Thi Ngµn N®m	0	6	6	120000000	20	20	10	10	5400	πÌΩ´æ¸	ø’ ÷	5000	100	2500	9000;15000	6000;12000			80		80	600	8	9	614	15	80	632	20	20									90	1000	1000	15	2									\settings\static_script\npc\init\myty_boss.lua
Thi™n T≠Ìng ThÒ HÈ	0	0	0	120000000	20	20	10	10	5400	ÃÏ±¯2	ø’ ÷	5000	100	2500	9000;15000	6000;12000			80		80	600	8	9	701	2	100												90	1000	1000	18	2									\settings\static_script\npc\init\myty_boss.lua
Th∏i H≠ Bµn Th·	0	0	0	30000	14	20	5	10	259200	æ≠—ÈÕ√◊”	ø’ ÷	1500	100	200	1500;2000	1500;2000	10	100	20	600	70	700	5	9	701	2	100	2112	1	100	2108	2	100	2143	1	100			70			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ V≠Ón to	0	0	0	60000	14	17	10	10	259200	æﬁ‘≥	ø’ ÷	1600	100	220	1700;2200	1700;2200	10	600	70	100	20	700	5	9	701	2	100	2112	1	100	2108	2	100	2143	2	100			71			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ M∑nh hÊ	0	0	0	90000	14	20	5	10	259200	¿œª¢	ø’ ÷	1700	100	250	1900;2400	1900;2400	10	100	20	600	70	700	5	9	701	2	100	2112	1	100	2108	2	100	2143	3	100			72			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ Quπ ßen	0	0	0	120000	14	17	10	10	259200	∫⁄—ª	ø’ ÷	1800	100	270	2100;2600	2100;2600	10	600	70	100	20	700	5	9	703	2	100	2112	1	100	2108	2	100	2143	4	100			73			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ Ki’m S∏t	0	0	0	150000	14	17	10	10	259200	Ω£…∑	ø’ ÷	1900	100	300	2300;2800	2300;2800	10	100	20	600	70	700	5	9	701	2	100	2112	1	100	2108	2	100	2143	5	100			74			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ Th˘c Nh©n hoa	0	0	0	180000	14	17	10	10	259200	æ≠—È ≥»Àª®	ø’ ÷	2000	100	320	2500;3000	2500;3000	10	600	70	100	20	700	5	9	705	2	100	2112	1	100	2108	2	100	2143	6	100			75			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ Bπch Y™u HÂ	0	0	0	210000	14	17	10	10	259200	—˝∫¸1	ø’ ÷	2100	100	350	2700;3200	2700;3200	10	100	20	600	70	700	5	9	704	2	100	2112	1	100	2108	2	100	2143	7	100			76			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ C«m Ti™n Tˆ	0	0	0	240000	14	17	10	10	259200	æ≠—È«Ÿœ…◊”	ø’ ÷	2200	100	370	2900;3400	2900;3400	10	600	70	100	20	700	5	9	704	2	100	2112	1	100	2108	2	100	2143	8	100			77			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ Tuy’t Qu∏i	0	0	0	270000	14	17	10	10	259200	—©π÷1	ø’ ÷	2300	100	400	3100;3600	3100;3600	10	100	20	600	70	700	5	9	701	2	100	2112	1	100	2108	2	100	2143	9	100			78			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ Th∂o Kh u	0	0	0	300000	14	17	10	10	259200	≤›ø‹	ø’ ÷	2400	100	420	3300;3800	3300;3800	10	600	70	100	20	700	5	9	701	2	100	2112	1	100	2108	2	100	2143	10	100			79			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ Lam Ti”u Æao qu˚	0	0	0	360000	14	17	10	10	259200	¿∂–°µ∂πÌ	ø’ ÷	2500	100	450	3500;4000	3500;4000	10	100	20	600	70	700	5	9	701	2	100	2112	2	100	2108	2	100	2143	11	100			80			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ Ti”u HÂng xoa qu˚	0	0	0	420000	14	17	10	10	259200	–°∫Ï≤ÊπÌ	ø’ ÷	2600	100	470	3700;4200	3700;4200	10	600	70	100	20	700	5	9	703	2	100	2112	2	100	2108	2	100	2143	12	100			81			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ Lam Phi tr∂o qu˚	0	0	0	480000	14	17	10	10	259200	¿∂∑…◊¶πÌ	ø’ ÷	2700	100	500	3900;4400	3900;4400	10	100	20	600	70	700	5	9	704	2	100	2112	2	100	2108	2	100	2143	13	100			82			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ Ki’m t≠Óng	0	0	0	540000	14	17	10	10	259200	≥÷Ω£±¯¬ÌŸ∏	ø’ ÷	2800	100	520	4100;4600	4100;4600	10	600	70	100	20	700	5	9	701	2	100	2112	2	100	2108	2	100	2143	14	100			83			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ S¨n T∆c ß«u MÙc	0	0	0	600000	14	0	10	10	259200	…Ω‘ÙÕ∑ƒø	ø’ ÷	2900	100	550	4300;4800	4300;4800	10	100	20	600	70	700	5	3	620	2	100	2112	2	100	2108	2	100	2143	15	100			84			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ M…u Dπ Xoa	0	0	0	660000	14	17	10	10	259200	∆√∏æƒ∏“π≤Ê	ø’ ÷	3000	100	570	4500;5000	4500;5000	10	600	70	100	20	700	5	9	701	2	100	2112	2	100	2108	2	100	2143	16	100			85			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ Ki’m HÂn	0	0	0	720000	14	17	10	10	259200	Ω£ªÍ	ø’ ÷	3100	100	600	4700;5200	4700;5200	10	100	20	600	70	700	5	9	704	2	100	2112	2	100	2108	2	100	2143	17	100			86			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ H·a K˙ L©n	0	0	0	780000	14	17	10	10	259200	ª˜Ë˜Î1	ø’ ÷	3200	100	620	4900;5400	4900;5400	10	600	70	100	20	700	5	9	624	2	100	2112	2	100	2108	2	100	2143	18	100			87			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ PhÙng hoµng	0	0	0	840000	14	17	10	10	259200	æ≠—È∑ÔªÀ	ø’ ÷	3300	100	650	5100;5600	5100;5600	10	100	20	600	70	700	5	9	634	2	100	2112	2	100	2108	2	100	2143	19	100			88			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ Ki’m ti™n Tˆ	0	0	0	900000	14	17	10	10	259200	≈ÆΩ£œ…		3400	100	670	5300;5800	5300;5800	10	600	70	100	20	700	5	9	616	2	100	2112	2	100	2108	2	100	2143	20	100			89			18	1							1000	1000	\settings\static_script\npc\init\taixu1.lua
Th∏i H≠ Ki’m CuÂng	0	0	0	1020000	14	17	10	10	259200	Ω£øÒ	ø’ ÷	3500	100	700	5500;6000	5500;6000	10	100	20	600	70	700	5	9	701	2	100	2112	3	100	2108	2	100	2144	1	100			90			18	1							1000	1000	\settings\static_script\npc\init\taixu2.lua
Th∏i H≠ Bﬂ T©y Tπng	0	0	0	1140000	14	17	10	10	259200	√Á¡Î“∞ÍÛ≈£	ø’ ÷	3600	100	720	5700;6200	5700;6200	10	600	70	100	20	700	5	9	612	2	100	2112	3	100	2108	2	100	2144	2	100			91			18	1							1000	1000	\settings\static_script\npc\init\taixu2.lua
Th∏i H≠ Cao PhÛ So∏i	0	0	0	1260000	14	17	10	10	259200	∞¢Œ™	ø’ ÷	3700	100	750	5900;6400	5900;6400	10	100	20	600	70	700	5	9	624	2	100	2112	3	100	2108	2	100	2144	3	100			92			18	1							1000	1000	\settings\static_script\npc\init\taixu2.lua
Th∏i H≠ Hoa Si N˜	0	0	0	1380000	14	17	10	10	259200	≈Æ∫¸œ…	ø’ ÷	3800	100	770	6100;6600	6100;6600	10	600	70	100	20	700	5	9	634	2	100	2112	3	100	2108	2	100	2144	4	100			93			18	1							1000	1000	\settings\static_script\npc\init\taixu2.lua
Th∏i H≠ TÊng qu∂n	0	0	0	1500000	14	8	10	10	259200	≤ÿΩ£…Ω◊ØÕ‚‘∫◊‹π‹30	ø’ ÷	3900	100	800	6300;6800	6300;6800	10	500	50	500	50	700	5	9	611	2	100	2112	3	100	2108	2	100	2144	5	100			94			18	1							1000	1000	\settings\static_script\npc\init\taixu2.lua
B∂n n©ng c p-Th∏i H≠ Bµn Th·	0	0	0	1620000	14	20	5	10	259200	æ≠—ÈÕ√◊”	ø’ ÷	4000	100	830	6500;7000	6500;7000	10	100	20	600	70	700	5	9	701	2	100	2112	3	100	2108	2	100	2144	6	100			95			18	1							1000	1000	\settings\static_script\npc\init\taixu2.lua
B∂n n©ng c p-Th∏i H≠ V≠Ón to	0	0	0	1740000	14	17	10	10	259200	æﬁ‘≥	ø’ ÷	4100	100	860	6700;7200	6700;7200	10	600	70	100	20	700	5	9	701	2	100	2112	3	100	2108	2	100	2144	7	100			96			18	1							1000	1000	\settings\static_script\npc\init\taixu2.lua
B∂n n©ng c p-Th∏i H≠ M∑nh hÊ	0	0	0	1860000	14	20	5	10	259200	¿œª¢	ø’ ÷	4200	100	890	6900;7400	6900;7400	10	100	20	600	70	700	5	9	701	2	100	2112	3	100	2108	2	100	2144	8	100			97			18	1							1000	1000	\settings\static_script\npc\init\taixu2.lua
B∂n n©ng c p-Th∏i H≠ Quπ ßen	0	0	0	1980000	14	17	10	10	259200	∫⁄—ª	ø’ ÷	4300	100	920	7100;7600	7100;7600	10	600	70	100	20	700	5	9	703	2	100	2112	3	100	2108	2	100	2144	9	100			98			18	1							1000	1000	\settings\static_script\npc\init\taixu2.lua
B∂n n©ng c p-Th∏i H≠ Ki’m S∏t	0	0	0	2100000	14	17	10	10	259200	Ω£…∑	ø’ ÷	4400	100	950	7300;7800	7300;7800	10	100	20	600	70	700	5	9	701	2	100	2112	3	100	2108	2	100	2144	10	100			99			18	1							1000	1000	\settings\static_script\npc\init\taixu2.lua
B∂n n©ng c p-Th∏i H≠ Th˘c Nh©n hoa	0	0	0	2250000	14	17	10	10	259200	æ≠—È ≥»Àª®	ø’ ÷	4500	100	980	7500;8000	7500;8000	10	600	70	100	20	700	5	9	705	2	100	2112	4	100	2108	2	100	2144	11	100			100			18	1							1000	1000	\settings\static_script\npc\init\taixu3.lua
B∂n n©ng c p-Th∏i H≠ Bπch Y™u HÂ	0	0	0	2400000	14	17	10	10	259200	—˝∫¸1	ø’ ÷	4600	100	1010	7700;8200	7700;8200	10	100	20	600	70	700	5	9	704	2	100	2112	4	100	2108	2	100	2144	12	100			101			18	1							1000	1000	\settings\static_script\npc\init\taixu3.lua
B∂n n©ng c p-Th∏i H≠ C«m Ti™n Tˆ	0	0	0	2550000	14	17	10	10	259200	æ≠—È«Ÿœ…◊”	ø’ ÷	4700	100	1040	7900;8400	7900;8400	10	600	70	100	20	700	5	9	704	2	100	2112	4	100	2108	2	100	2144	13	100			102			18	1							1000	1000	\settings\static_script\npc\init\taixu3.lua
B∂n n©ng c p-Th∏i H≠ Tuy’t Qu∏i	0	0	0	2700000	14	17	10	10	259200	—©π÷1	ø’ ÷	4800	100	1070	8100;8600	8100;8600	10	100	20	600	70	700	5	9	701	2	100	2112	4	100	2108	2	100	2144	14	100			103			18	1							1000	1000	\settings\static_script\npc\init\taixu3.lua
B∂n n©ng c p-Th∏i H≠ Th∂o Kh u	0	0	0	2850000	14	17	10	10	259200	≤›ø‹	ø’ ÷	4900	100	1100	8300;8800	8300;8800	10	600	70	100	20	700	5	9	701	2	100	2112	4	100	2108	2	100	2144	15	100			104			18	1							1000	1000	\settings\static_script\npc\init\taixu3.lua
B∂n n©ng c p-Th∏i H≠ Lam Ti”u Æao qu˚	0	0	0	3000000	14	17	10	10	259200	¿∂–°µ∂πÌ	ø’ ÷	5000	100	1130	8500;9000	8500;9000	10	100	20	600	70	700	5	9	701	2	100	2112	4	100	2108	2	100	2144	16	100			105			18	1							1000	1000	\settings\static_script\npc\init\taixu3.lua
